Title,Year,Plot
Coal Miner's Daughter,1980,"The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s."
The Watcher in the Woods,1980,"When a family moves to a country home, the young girls experience strange happenings that have a link to an occult event years past."
Breaker Morant,1980,Three Australian lieutenants are court martialed for executing prisoners as a way of deflecting attention from war crimes committed by their superior officers.
The Stunt Man,1980,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director."
Where the Buffalo Roam,1980,Semi-biographical film based on the experiences of gonzo journalist Hunter S. Thompson.
The Awakening,2011,"In 1921, England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart visits a boarding school to explain sightings of a child ghost. Everything she believes unravels as the 'missing' begin to show t..."
Cheech and Chong's Next Movie,1980,"Cheech and Chong live in a decrepit old house and drive their neighbour crazy with their loud music, weed smoking and general anarchy and slacker view on life. Then Chong meets Cheech's Texan cousin Red and things kick up a notch."
The Island,2005,"A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth."
The Boogey Man,1980,"Through the reflection in the mirror, a girl witnesses her mother's boyfriend's murder."
The Nude Bomb,1980,Maxwell Smart is recalled to duty to help fight a villian who threatens to detonate a weapon that destroys clothing.
The Lion of the Desert,1980,"In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar."
Stardust Memories,1980,"While attending a retrospective of his work, a filmmaker recalls his life and his loves: the inspirations for his films."
Melvin and Howard,1980,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes."
Can't Stop the Music,1980,A pseudo autobiography of disco's The Village People.
Bronco Billy,1980,"An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest."
City of Women,1980,A businessman finds himself trapped at a hotel and threatened by women en masse.
The Private Eyes,1980,Scotland Yard sends a goofy pair to check on foul play at a mansion outside 1920s London.
When Time Ran Out...,1980,An active volcano threatens a south Pacific island resort and its guests as a power struggle ensues between the property's developer and a drilling foreman.
Oh Heavenly Dog,1980,A murdered detective must avenge his murder after he is reincarnated as a dog.
The Octagon,1980,A martial artist must defeat a plan by ninjas to create a worldwide training camp for terrorists.
Hangar 18,1980,"After a UFO crashes in Arizona, due to a space collision with a NASA satellite launch, the U.S. government tries to cover-up the incident for political reasons."
Herbie Goes Bananas,1980,The adorable little VW helps its owners break up a counterfeiting ring in Mexico.
The Competition,1980,"Paul Dietrich, at almost 30 years old, is a fading piano prodigy. Heidi Schoonover is a talented young pianist with a promising future. When Paul hears of an upcoming competition that could make his career, he dedicates himself to..."
It's My Turn,1980,"A successful but stressed mathematics professor goes to her father's wedding and falls in love with her father's bride's son, a prematurely retired pro baseball player. She must choose between him and her current boyfriend, betwee..."
Honeysuckle Rose,1980,"Buck is a country singer on the road caught in a romantic triangle with Viv and Lily, the daughter of his longtime musical sidekick."
Resurrection,2013–2015,"The lives of the people of Arcadia, Missouri are forever changed when their deceased loved ones return."
Fatso,2008,"Overweight loner Rino spends his days in seclusion, until his dad rents a room to an overtly sexual girl who challenges Rino to break down his walls."
Moscow Does Not Believe in Tears,1980,"Three young provincial women come to Moscow in search of what people in all the capitals of the world are looking for - love, happiness and prosperity. Their destinies develop exactly as the character of each of the girls suggests."
The Fiendish Plot of Dr. Fu Manchu,1980,"When Fu's age-regressing elixir vitae is spilled by a hapless flunky, Fu Manchu sends his lackeys to round up supplies for a fresh batch of elixir, including a precious jewel, which prompts a team of agents to track him down."
Serial,1980,"It's the end of the 1970s. Hippies are assimilating, women are raising their consciousness, and men are becoming confused and ineffectual. Don't expect to be able to keep track of all the names, or who's sleeping with whom. This m..."
Hero at Large,1980,"A struggling actor buying milk stops a robbery while wearing a superhero uniform, promoting a movie. The unknown hero decides to try again. Can he impress his cute neighbor?"
Wholly Moses!,1980,An all-star comedy cast hams it up in this hilarious Biblical spoof.
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,Charlie Brown and his friends travel to Europe as exchange students.
In God We Trust (or Gimme That Prime Time Religion),1980,"Raised in a Trappist monastery, the innocent Brother Ambrose sets out to find money to save the bankrupt monastery. His education in worldliness is provided by a hooker. He eventually petitions G. O. D. For the cash."
Roadie,1980,"A young Texas good ol' boy has a knack with electronic equipment, and that talent gets him a job as a roadie with a raucous travelling rock-and-roll show."
Just Tell Me What You Want,1980,"A married, egotistical, middle-aged head of a corporate empire man and his mistress and protegee, who wants a more serious commitment and ends up dating a younger man, are in a casual love/hate relationship and engage in a battle ..."
The Last Flight of Noah's Ark,1980,"When a plane carrying various animals makes a forced landing on a desert island, the only chance to escape is to convert the plane into a boat."
Little Miss Marker,1980,A gruff bookie's life is turned upside-down when he gets a 6-year-old kid as collateral for a bet.
Willie & Phil,1980,"Remake of Jules et Jim following the experiences over a decade of two friends who fall in love with the same woman, enjoyably satirising the 70's through the search by the three protagonists for their identities and making sharp a..."
Babylon,2022,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Windwalker,1980,"In 1797 Utah, an aged Cheyenne patriarch helps his kin to fight off a raiding party of rival Crow warriors and he tells his grandchildren the story of their family."
Phobia,2008,"4BIA is a Horror Anthology. The first segment, ""Happiness"" is about a lonely girl who corresponded with a stranger over hand phone text messaging and soon discovered something strange about this new stranger that she is attracted ..."
Windows,1980,Homicidal woman in New York City spies on her shy mousy neighbor with a telescope and tape recorder and has her frightened by a knife-brandishing brute.
Loving Couples,1964,Three expectant mothers think back over their sex lives.
The King and the Mockingbird,1980,A chimney sweep and a shepherdess seek to escape from the clutches of a tyrannical king.
"Oh, God! Book II",1980,God asks a young girl to help spread his word and influence with a slogan.
"Those Lips, Those Eyes",1980,Stagestruck adolescent learns about love the hard way while interning in Cleveland summer stock during the early '50's.
La Cage aux Folles II,1980,The titular gay couple become involved with local cops and foreign spies when one of them unwittingly obtains a roll of stolen microfilm.
The Gong Show Movie,1980,"A week in the life of ""The Gong Show"" host and creator Chuck Barris who lives through a series of outrageous competitors, stressful situations, a nervous breakdown and other comical characters involved in his life and work on the ..."
Gilda Live,1980,"A filmed version of the Broadway show starring comedienne Gilda Radner, complete with the characters she made famous on the TV show Saturday Night Live (1975)."
Why Would I Lie?,1980,"Cletus is a compulsive liar, though he prefers the term 'fabrication' to 'lie.' When he becomes a social worker, he's assigned the case of a boy named Jeorge (with a 'J') who was taken from his mother. Cletus sets out to reunite J..."
First Family,1980,"Bob Newhart stars as President Manfred Link in this zany, wonderfully-cast comedy from veteran funnyman Buck Henry (""Heaven Can Wait"", ""The Graduate"")."
Mantis Fist Fighter,1980,"Ah Chi (Ka-Yan Leung) is obsessed with the martial arts and, more often than not, his kung-fu clowning gets him into trouble. One day he gets into a fight defending the locals from a violent thug who turns out to be an enforcer fo..."
Body Heat,1981,"During an extreme heatwave, a beautiful Florida woman and a seedy lawyer engage in an affair while plotting the murder of her rich husband."
An American Werewolf in London,1981,Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists.
Escape from New York,1981,"In 1997, when the U.S. president crashes into Manhattan, now a giant maximum security prison, a convicted bank robber is sent in to rescue him."
The Evil Dead,1981,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons."
Porky's,1981,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
Blow Out,1981,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.
Clash of the Titans,2010,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth."
Excalibur,1981,"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart."
Das Boot,1985,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.
Stripes,1981,Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.
Possession,1981,A woman starts exhibiting increasingly disturbing behavior after asking her husband for a divorce. Suspicions of infidelity soon give way to something much more sinister.
The Cannonball Run,1981,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks."
Thief,1981,An ace safe cracker wants to do one last big heist for the mob before going straight.
Endless Love,2014,The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.
Time Bandits,1981,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal."
The Four Seasons,1981,"Three couples vacation together every season. After one divorces, feelings of betrayal and more spawn criticisms of one another, but the things that keep them together are stronger than those which might pull them apart."
Friday the 13th Part 2,1981,"Five years after the events of the first film, a summer camp next to the infamous Camp Crystal Lake is preparing to open, but the legend of Jason is weighing heavy on the proceedings."
Scanners,1981,"A scientist trains a man with an advanced telepathic ability called ""scanning"" to stop a dangerous Scanner with extraordinary psychic powers from waging war against non scanners."
For Your Eyes Only,1981,Secret service agent James Bond is assigned to find a missing British vessel equipped with a weapons encryption device and prevent it from falling into enemy hands.
Halloween II,1981,"While Dr. Loomis hunts for Michael Myers, a traumatized Laurie is rushed to Haddonfield Memorial Hospital, and The Shape is not far behind her."
Taps,1981,Military cadets take extreme measures to ensure the future of their academy when its existence is threatened by local condo developers.
Reds,1981,"A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States."
On Golden Pond,1981,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms."
The Fox and the Hound,1981,"A fox named Tod and a hound named Copper vow to be best friends forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test."
Chariots of Fire,1981,"Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience."
Absence of Malice,1981,"When a prosecutor leaks to a Miami reporter that a liquor wholesaler is suspected in the murder of a union head, the man's life begins to unravel."
Tarzan the Ape Man,1932,"A trader and his daughter set off in search of the fabled graveyard of the elephants in deepest Africa, only to encounter a wild man raised by apes."
Victory,1981,"As allied P.O.W.s prepare for a soccer game against the German National Team to be played in Nazi-occupied Paris, the French Resistance and British officers are making plans for the team's escape."
Arthur,2011,A drunken playboy stands to lose a wealthy inheritance when he falls for a woman his family doesn't like.
My Dinner with Andre,1981,"Two old friends meet for dinner; as one tells anecdotes detailing his experiences, the other notices their differing worldviews."
Caveman,1981,A caveman seeks revenge on a much larger competitor for the hand of a beautiful cavewoman.
Dead & Buried,1981,Sheriff Dan Gillis investigates eerie deaths in a sleepy coastal town.
History of the World: Part I,1981,Mel Brooks brings his one-of-a-kind comic touch to the history of mankind covering events from the Old Testament to the French Revolution in a series of episodic comedy vignettes.
The Howling,1981,"After a bizarre and near deadly encounter with a serial killer, a television newswoman is sent to a remote mountain resort whose residents may not be what they seem."
Dragonslayer,1981,A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.
Cutter's Way,1981,"Richard spots a man dumping a body, and decides to expose the man he thinks is the culprit with his friend Alex Cutter."
Quest for Fire,1981,This story takes place in prehistoric time when three tribesmen search for a new fire source.
The Final Conflict,1981,The now adult Antichrist plots to eliminate his future divine opponent while a cabal of monks plot to stop him.
Mommie Dearest,1981,"The abusive and traumatic adoptive upbringing of Christina Crawford at the hands of her mother, screen queen Joan Crawford, is depicted."
Private Lessons,1981,An immigrant housemaid seduces a 15-year-old boy and later fakes her own death as part of his chauffeur's blackmail plot. Troubles arise when the two start to fall in love.
The Postman Always Rings Twice,1981,"The sensuous wife of a roadside diner proprietor and a rootless drifter begin a sordid, steamy affair and conspire to murder her Greek husband."
Ragtime,1981,"A young black pianist becomes embroiled in the lives of an upper-class white family set among the racial tensions, infidelity, violence and other nostalgic events in early 1900s New York City."
Deadly Blessing,1981,"After her husband dies under mysterious circumstances, a widow becomes increasingly paranoid of the neighboring religious community that may have diabolical plans for her."
Eyewitness,2016,"When a young gay couple witness a triple murder, they will do anything to avoid being outed to their small town."
Gallipoli,1981,Two Australian sprinters face the brutal realities of war when they are sent to fight in the Gallipoli campaign in Turkey during World War I.
Outland,1981,A federal marshal stationed at a mining colony on the Jupiter moon of Io uncovers a drug-smuggling conspiracy. He gets no help from the workers or authorities when he finds himself marked for murder.
Southern Comfort,1981,"During a routine exercise, a team of National Guardsmen are threatened by angry and violent locals."
S.O.B.,1981,"A successful movie director makes the most expensive film in his career and it becomes a huge flop. He tries to salvage his career by reshooting the film as an erotic production, where its family-friendly star takes her top off."
The Beyond,1981,"A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell."
Ghost Story,1981,"Two generations of men find themselves haunted by the presence of a spectral woman. When the son of one of the elderly men returns to his hometown after his brother's mysterious death, they attempt to unravel her story."
My Bloody Valentine,2009,"Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old ..."
The Funhouse,1981,"Four teenagers visit a local carnival for a night of innocent amusement, but soon discover that nothing there is innocent or amusing."
One from the Heart,1981,"A couple has a fight after living together 5 years in Las Vegas. They go out and celebrate 4th of July, each with a new partner. Breakup?"
The French Lieutenant's Woman,1981,Anna and Mike portray two characters in a film set in 19th century England who fall in love despite the fact that Mike's character is engaged.
The Great Muppet Caper,1981,"Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy."
True Confessions,1981,"A worldly ambitious monsignor clashes with his older brother, a cynical Los Angeles homicide detective who is investigating the brutal murder of a young prostitute."
Looker,1981,"Three of four models, who had plastic surgery done by Larry after a computed list, are dead. Neither the cops nor Larry believe they're suicides. Larry investigates and stays with the fourth model. Who's behind the lists and murders?"
Nighthawks,1981,"When one of Europe's most lethal terrorists shows up in New York, an elite undercover cop is assigned to take him down by any means necessary."
Nice Dreams,1981,"Disguised as ice cream vendors, Cheech and Chong make--and subsequently lose--millions of dollars selling a batch of marijuana with an unusual side effect."
Sharky's Machine,1981,Tom Sharky is demoted to vice after a bust goes terribly wrong. He and his team stumble across a mob murder tied to prostitution and government.
Neighbors,2014,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
Puberty Blues,2012–2014,Teen best friends Debbie and Sue grow up and find love and freedom on the beaches of Sydney's Sutherland Shire during the tumultuous 1970s.
Eye of the Needle,1981,"A ruthless German spy, trying to get out of Britain with vital information about D-Day, must spend time with a young woman and her crippled husband."
Wolfen,1981,A New York cop investigates a series of brutal deaths that resemble animal attacks.
Student Bodies,1981,A serial killer with his signature heavy breathing proceeds to systematically kill the students and teachers of Lamab high school.
Prince of the City,1981,"A New York City narcotics detective reluctantly agrees to cooperate with a special commission investigating police corruption, and soon realises he's in over his head, and nobody can be trusted."
The Hand,1981,"A comic book artist loses his hand, which in turn takes on a murderous life of its own."
Continental Divide,1981,A hard-nosed Chicago journalist has an unlikely love affair with an eagle researcher.
Diva,1981,"Two tapes, two Parisian mob killers, one corrupt policeman, an opera fan, a teenage thief, and the coolest philosopher ever filmed all twist their way through an intricate and stylish French-language thriller."
Venom,2018,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
Fort Apache the Bronx,1981,"In New York City, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost."
Eyes of a Stranger,1981,A news anchorwoman begins to suspect a man living in the same apartment complex as her to be the serial killer that's been raping and killing women in the Miami area.
Zorro: The Gay Blade,1981,"Zorro, the legendary swordsman, has passed on his weapon and his sense of duty to his noble son, Diego, a dashing swashbuckler like his father. But after an injury sidelines Diego, he is forced to hand the mask over to his twin, R..."
Under the Rainbow,1981,"A visiting dignitary, a CIA agent, a Nazi spy, Japanese tourists, an assassin and a group of ""midget"" actors from The Wizard of Oz (1939) all check into an elite Los Angeles hotel called Under the Rainbow."
Carbon Copy,1981,"When a rich white corporate executive finds out that he has an illegitimate black son, things start falling apart for him at home, work, and in his social circles."
The Incredible Shrinking Woman,1981,A housewife grows smaller and smaller in reaction to chemicals found in cosmetics and household products.
The Night the Lights Went Out in Georgia,1981,A small-town stud wants to go to Nashville to be a big country star. His ambitious kid sister works as his manager. Their dream hits jeopardy when they cross paths with a small-town sheriff.
Quartet,2012,"At a home for retired musicians, the annual concert to celebrate Composer Giuseppe Verdi's birthday is disrupted by the arrival of Jean (Dame Maggie Smith), an eternal diva and the former wife of one of the residents."
Graduation Day,1981,A masked killer begins murdering students on the school track team after a track runner dies upon completion of a 30 second 200-meter race.
Modern Problems,1981,"Jealous, harried air traffic controller Max Fiedler, recently dumped by his girlfriend, comes into contact with nuclear waste and is granted the power of telekinesis, which he uses not only to win her back, but to gain a little re..."
Pennies from Heaven,1981,"During the Great Depression, a sheet-music salesman seeks to escape his dreary life through popular music and a love affair with an innocent schoolteacher."
American Pop,1981,The story of four generations of a Russian Jewish immigrant family of musicians whose careers parallel the history of American popular music in the 20th century.
The Legend of the Lone Ranger,1981,"The sole surviving Texas Ranger (Klinton Spilsbury) of an ambush arranged by outlaw leader Major Bartholomew ""Butch"" Cavendish (Christopher Lloyd) returns to fight back as a great masked western hero, The Lone Ranger."
Sphinx,1981,"Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs: murder, theft, betrayal, love, and a mummy's curse."
Night School,2018,A group of high school dropouts is forced to attend night school in hopes that they will pass the GED exam to finish high school.
An Eye for an Eye,1981,A SFPD undercover narcotics cop aims to avenge his partner's death and destroy a drug-smuggling ring operated by the Chinese Triads.
Zoot Suit,1981,"When barrio leader Henry Reyna and his friends are unjustly convicted on circumstantial evidence, activist lawyers Alice Bloomfield and George Shearer fight the blatant racially motivated miscarriage of justice to win them their f..."
Rich and Famous,1981,"Liz and Merry become BFFs in college. A decade later, Liz is a serious writer with writer's block, and Merry is a homemaker and a mom who has written a novel. Other bestsellers, riches, and fame follow."
Buddy Buddy,1981,"During a high-profile Mafia testimony case in California's Riverside County, a hired killer checks into a hotel room near the courthouse, while his depressed next-door neighbor wants to commit suicide over marital problems."
Bustin' Loose,1981,Failed parolee Joe Braxton has one last shot at redemption: by driving school kids from Philadelphia to Washington State.
Modern Romance,1981,Albert Brooks directs himself as a successful film editor with far too many issues that affects the relationship between him and his remarkably patient girlfriend.
Heartbeeps,1981,Two household robots run away and try to start a family.
Back Roads,2018,"In 1993, Harley's dad is shot dead and his mom goes to prison. He has to earn money and look after his 3 kid sisters. No college. Over 2 years, family secrets are slowly revealed. Will a good therapist be enough?"
Take This Job and Shove It,1981,"Frank is sent to his native town, Millsborough, to increase the local brewery production. He meets old school mates and his former girlfriend, Jane. They quickly fall in love again. Frank is torn between his job."
Raggedy Man,1981,A divorcee with two sons has an affair with a young sailor passing through her Texas town in 1944.
Whose Life Is It Anyway?,1981,"Ken Harrison is an artist who makes sculptures. One day he is involved in a car accident, and is paralyzed from his neck down. All he can do is talk, and he wants to die. In hospital he make friends with some of the staff, and the..."
Inchon,1981,"During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950."
All Night Long,1981,A middle-aged executive's lifestyle and values are turned upside down after he is demoted to chain-store night manager.
The Pursuit of D.B. Cooper,1981,"D.B. Cooper parachutes with his stolen money and proceeds to contact his wife. Meanwhile, his former army sergeant, who now works as an insurance investigator, manages to identify him and decides to track him down."
Rollover,1981,The wife of a murdered petrochemical company chairman and a banker investigating the liquidity of his new bank stumble upon an international financial scheme that could lead to global economic collapse.
Only When I Laugh,1981,A boozy Broadway actress comes out of a 12-week cure to face the problems of her best friends as well as her needy daughter. She tries to balance the terrors of returning to work with the demands of all around her with humor and i...
Honky Tonk Freeway,1981,"A satire of American progression in which a mayor tries to bribe an official to ensure a ramp connects Ticlaw to an up-and-coming intrastate. When his plan fails, the town residents are forced to take matters into their own hands."
Paternity,1981,A single man searches for a woman who will bear his baby with no strings attached.
King of the Mountain,1981,"A group of friends race their high-powered cars up and down a dangerous and deadly mountain road known as Mulholland Drive to see who can claim the title of ""King of the Hill."""
Scream,1996,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game."
The Devil and Max Devlin,1981,"Max, a dead corrupt businessman, makes a Faustian pact with Satan's henchman to drive three people to Hell in exchange for longer life. Soon Max realizes that there still may be good in him."
The Amateur,1981,"A CIA operative takes justice in his own hands, as his girlfriend is brutally murdered by terrorists. He carefully designs a plan to hunt down the terrorists, after the crime, and executes them one by one."
Longshot,2001,A twenty-something tennis instructor/gigolo gets embroiled in a scheme involving seduction and insider trading.
Comin' at Ya!,1981,"Tragedy strikes as two ruthless brothers kidnap a bride during her wedding. Hurt and angry, H.H. begins his quest to find the love he lost, and take vengeance upon the wicked. Comin' at Ya."
Le Pont du Nord,1981,Young unhinged female ex-con with a motorcycle helps a sickly young homeless woman in red discover what the map of Paris she took from her gangster boyfriend leads to.
Silence of the North,1981,"Based on the biography of Olive Fredrickson, It tells of her life as a girl, then a trapper's wife and later a widow with three small children surviving under rugged pioneer conditions in northern Alberta Canada from the early 190..."
Fast Times at Ridgemont High,1982,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs and rock n' roll."
Blade Runner,1982,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
The Thing,1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Conan the Barbarian,1982,A powerful warrior seeks to avenge the genocide of his people and the murder of his parents at the hands of a snake cult.
E.T. the Extra-Terrestrial,1982,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
First Blood,1982,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
An Officer and a Gentleman,1982,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend."
Grease 2,1982,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.
Annie,1982,"A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage."
Poltergeist,1982,A family's home is haunted by a host of demonic ghosts.
48 Hrs.,1982,A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.
Star Trek II: The Wrath of Khan,1982,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
Paradise,2023,"After his wife is forced to give up 40 years of her life as payment for an insurance debt, a man desperately searches for a way to get them back."
The Last American Virgin,1982,"Pizza delivery boy Gary, loudmouth David and hunky Rick are three high school students out to lose their virginity any way they can. Gary falls for transfer student Karen, who gets involved with Rick."
Sophie's Choice,1982,"Sophie is the survivor of Nazi concentration camps, who has found a reason to live with Nathan, a sparkling if unsteady American Jew obsessed with the Holocaust."
Gandhi,1982,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Tootsie,1982,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
Tron,1982,A computer hacker is abducted into the digital world and forced to participate in gladiatorial games where his only chance of escape is with the help of a heroic security program.
The Secret of NIMH,1982,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected."
The King of Comedy,1982,A passionate yet unsuccessful comedian stalks and kidnaps his idol to take the spotlight for himself.
Rocky III,1982,"Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion."
The Beastmaster,1982,"A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces."
Creepshow,1982,"""Creepshow"" is a 1982 movie that tells five grisly tales from a children's comic book: a murdered father rising from his grave, a bizarre meteor, a vengeful husband, a mysterious crate's occupant, and a plague of cockroaches."
The Man from Snowy River,1982,"In 1880s Australia, after young Jim Craig's father dies, he takes a job at the Harrison cattle ranch, where he is forced to become a man."
Pink Floyd: The Wall,1982,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
Cat People,1942,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.
Fanny and Alexander,1982,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
Firefox,1982,A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink.
Halloween III: Season of the Witch,1982,Kids all over America want Silver Shamrock masks for Halloween. Doctor Daniel Challis seeks to uncover a plot by Silver Shamrock owner Conal Cochran.
The Dark Crystal,1982,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world."
The Verdict,1982,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
Pieces,1982,The co-eds of a Boston college campus are targeted by a mysterious killer who is creating a human jigsaw puzzle from their body parts.
